"GEO_ID","NAME","B27010_001E","B27010_001M","B27010_002E","B27010_002M","B27010_003E","B27010_003M","B27010_004E","B27010_004M","B27010_005E","B27010_005M","B27010_006E","B27010_006M","B27010_007E","B27010_007M","B27010_008E","B27010_008M","B27010_009E","B27010_009M","B27010_010E","B27010_010M","B27010_011E","B27010_011M","B27010_012E","B27010_012M","B27010_013E","B27010_013M","B27010_014E","B27010_014M","B27010_015E","B27010_015M","B27010_016E","B27010_016M","B27010_017E","B27010_017M","B27010_018E","B27010_018M","B27010_019E","B27010_019M","B27010_020E","B27010_020M","B27010_021E","B27010_021M","B27010_022E","B27010_022M","B27010_023E","B27010_023M","B27010_024E","B27010_024M","B27010_025E","B27010_025M","B27010_026E","B27010_026M","B27010_027E","B27010_027M","B27010_028E","B27010_028M","B27010_029E","B27010_029M","B27010_030E","B27010_030M","B27010_031E","B27010_031M","B27010_032E","B27010_032M","B27010_033E","B27010_033M","B27010_034E","B27010_034M","B27010_035E","B27010_035M","B27010_036E","B27010_036M","B27010_037E","B27010_037M","B27010_038E","B27010_038M","B27010_039E","B27010_039M","B27010_040E","B27010_040M","B27010_041E","B27010_041M","B27010_042E","B27010_042M","B27010_043E","B27010_043M","B27010_044E","B27010_044M","B27010_045E","B27010_045M","B27010_046E","B27010_046M","B27010_047E","B27010_047M","B27010_048E","B27010_048M","B27010_049E","B27010_049M","B27010_050E","B27010_050M","B27010_051E","B27010_051M","B27010_052E","B27010_052M","B27010_053E","B27010_053M","B27010_054E","B27010_054M","B27010_055E","B27010_055M","B27010_056E","B27010_056M","B27010_057E","B27010_057M","B27010_058E","B27010_058M","B27010_059E","B27010_059M","B27010_060E","B27010_060M","B27010_061E","B27010_061M","B27010_062E","B27010_062M","B27010_063E","B27010_063M","B27010_064E","B27010_064M","B27010_065E","B27010_065M","B27010_066E","B27010_066M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Under 19 years","Margin of Error!!Total!!Under 19 years","Estimate!!Total!!Under 19 years!!With one type of health insurance coverage","Margin of Error!!Total!!Under 19 years!!With one type of health insurance coverage","Estimate!!Total!!Under 19 years!!With one type of health insurance coverage!!With employer-based health insurance only","Margin of Error!!Total!!Under 19 years!!With one type of health insurance coverage!!With employer-based health insurance only","Estimate!!Total!!Under 19 years!!With one type of health insurance coverage!!With direct-purchase health insurance only","Margin of Error!!Total!!Under 19 years!!With one type of health insurance coverage!!With direct-purchase health insurance only","Estimate!!Total!!Under 19 years!!With one type of health insurance coverage!!With Medicare coverage only","Margin of Error!!Total!!Under 19 years!!With one type of health insurance coverage!!With Medicare coverage only","Estimate!!Total!!Under 19 years!!With one type of health insurance coverage!!With Medicaid/means-tested public coverage only","Margin of Error!!Total!!Under 19 years!!With one type of health insurance coverage!!With Medicaid/means-tested public coverage only","Estimate!!Total!!Under 19 years!!With one type of health insurance coverage!!With TRICARE/military health coverage only","Margin of Error!!Total!!Under 19 years!!With one type of health insurance coverage!!With TRICARE/military health coverage only","Estimate!!Total!!Under 19 years!!With one type of health insurance coverage!!With VA Health Care only","Margin of Error!!Total!!Under 19 years!!With one type of health insurance coverage!!With VA Health Care only","Estimate!!Total!!Under 19 years!!With two or more types of health insurance coverage","Margin of Error!!Total!!Under 19 years!!With two or more types of health insurance coverage","Estimate!!Total!!Under 19 years!!With two or more types of health insurance coverage!!With employer-based and direct-purchase coverage","Margin of Error!!Total!!Under 19 years!!With two or more types of health insurance coverage!!With employer-based and direct-purchase coverage","Estimate!!Total!!Under 19 years!!With two or more types of health insurance coverage!!With employer-based and Medicare coverage","Margin of Error!!Total!!Under 19 years!!With two or more types of health insurance coverage!!With employer-based and Medicare coverage","Estimate!!Total!!Under 19 years!!With two or more types of health insurance coverage!!With Medicare and Medicaid/means-tested public coverage","Margin of Error!!Total!!Under 19 years!!With two or more types of health insurance coverage!!With Medicare and Medicaid/means-tested public coverage","Estimate!!Total!!Under 19 years!!With two or more types of health insurance coverage!!Other private only combinations","Margin of Error!!Total!!Under 19 years!!With two or more types of health insurance coverage!!Other private only combinations","Estimate!!Total!!Under 19 years!!With two or more types of health insurance coverage!!Other public only combinations","Margin of Error!!Total!!Under 19 years!!With two or more types of health insurance coverage!!Other public only combinations","Estimate!!Total!!Under 19 years!!With two or more types of health insurance coverage!!Other coverage combinations","Margin of Error!!Total!!Under 19 years!!With two or more types of health insurance coverage!!Other coverage combinations","Estimate!!Total!!Under 19 years!!No health insurance coverage","Margin of Error!!Total!!Under 19 years!!No health insurance coverage","Estimate!!Total!!19 to 34 years","Margin of Error!!Total!!19 to 34 years","Estimate!!Total!!19 to 34 years!!With one type of health insurance coverage","Margin of Error!!Total!!19 to 34 years!!With one type of health insurance coverage","Estimate!!Total!!19 to 34 years!!With one type of health insurance coverage!!With employer-based health insurance only","Margin of Error!!Total!!19 to 34 years!!With one type of health insurance coverage!!With employer-based health insurance only","Estimate!!Total!!19 to 34 years!!With one type of health insurance coverage!!With direct-purchase health insurance only","Margin of Error!!Total!!19 to 34 years!!With one type of health insurance coverage!!With direct-purchase health insurance only","Estimate!!Total!!19 to 34 years!!With one type of health insurance coverage!!With Medicare coverage only","Margin of Error!!Total!!19 to 34 years!!With one type of health insurance coverage!!With Medicare coverage only","Estimate!!Total!!19 to 34 years!!With one type of health insurance coverage!!With Medicaid/means-tested public coverage only","Margin of Error!!Total!!19 to 34 years!!With one type of health insurance coverage!!With Medicaid/means-tested public coverage only","Estimate!!Total!!19 to 34 years!!With one type of health insurance coverage!!With TRICARE/military health coverage only","Margin of Error!!Total!!19 to 34 years!!With one type of health insurance coverage!!With TRICARE/military health coverage only","Estimate!!Total!!19 to 34 years!!With one type of health insurance coverage!!With VA Health Care only","Margin of Error!!Total!!19 to 34 years!!With one type of health insurance coverage!!With VA Health Care only","Estimate!!Total!!19 to 34 years!!With two or more types of health insurance coverage","Margin of Error!!Total!!19 to 34 years!!With two or more types of health insurance coverage","Estimate!!Total!!19 to 34 years!!With two or more types of health insurance coverage!!With employer-based and direct-purchase coverage","Margin of Error!!Total!!19 to 34 years!!With two or more types of health insurance coverage!!With employer-based and direct-purchase coverage","Estimate!!Total!!19 to 34 years!!With two or more types of health insurance coverage!!With employer-based and Medicare coverage","Margin of Error!!Total!!19 to 34 years!!With two or more types of health insurance coverage!!With employer-based and Medicare coverage","Estimate!!Total!!19 to 34 years!!With two or more types of health insurance coverage!!With Medicare and Medicaid/means-tested public coverage","Margin of Error!!Total!!19 to 34 years!!With two or more types of health insurance coverage!!With Medicare and Medicaid/means-tested public coverage","Estimate!!Total!!19 to 34 years!!With two or more types of health insurance coverage!!Other private only combinations","Margin of Error!!Total!!19 to 34 years!!With two or more types of health insurance coverage!!Other private only combinations","Estimate!!Total!!19 to 34 years!!With two or more types of health insurance coverage!!Other public only combinations","Margin of Error!!Total!!19 to 34 years!!With two or more types of health insurance coverage!!Other public only combinations","Estimate!!Total!!19 to 34 years!!With two or more types of health insurance coverage!!Other coverage combinations","Margin of Error!!Total!!19 to 34 years!!With two or more types of health insurance coverage!!Other coverage combinations","Estimate!!Total!!19 to 34 years!!No health insurance coverage","Margin of Error!!Total!!19 to 34 years!!No health insurance coverage","Estimate!!Total!!35 to 64 years","Margin of Error!!Total!!35 to 64 years","Estimate!!Total!!35 to 64 years!!With one type of health insurance coverage","Margin of Error!!Total!!35 to 64 years!!With one type of health insurance coverage","Estimate!!Total!!35 to 64 years!!With one type of health insurance coverage!!With employer-based health insurance only","Margin of Error!!Total!!35 to 64 years!!With one type of health insurance coverage!!With employer-based health insurance only","Estimate!!Total!!35 to 64 years!!With one type of health insurance coverage!!With direct-purchase health insurance only","Margin of Error!!Total!!35 to 64 years!!With one type of health insurance coverage!!With direct-purchase health insurance only","Estimate!!Total!!35 to 64 years!!With one type of health insurance coverage!!With Medicare coverage only","Margin of Error!!Total!!35 to 64 years!!With one type of health insurance coverage!!With Medicare coverage only","Estimate!!Total!!35 to 64 years!!With one type of health insurance coverage!!With Medicaid/means-tested public coverage only","Margin of Error!!Total!!35 to 64 years!!With one type of health insurance coverage!!With Medicaid/means-tested public coverage only","Estimate!!Total!!35 to 64 years!!With one type of health insurance coverage!!With TRICARE/military health coverage only","Margin of Error!!Total!!35 to 64 years!!With one type of health insurance coverage!!With TRICARE/military health coverage only","Estimate!!Total!!35 to 64 years!!With one type of health insurance coverage!!With VA Health Care only","Margin of Error!!Total!!35 to 64 years!!With one type of health insurance coverage!!With VA Health Care only","Estimate!!Total!!35 to 64 years!!With two or more types of health insurance coverage","Margin of Error!!Total!!35 to 64 years!!With two or more types of health insurance coverage","Estimate!!Total!!35 to 64 years!!With two or more types of health insurance coverage!!With employer-based and direct-purchase coverage","Margin of Error!!Total!!35 to 64 years!!With two or more types of health insurance coverage!!With employer-based and direct-purchase coverage","Estimate!!Total!!35 to 64 years!!With two or more types of health insurance coverage!!With employer-based and Medicare coverage","Margin of Error!!Total!!35 to 64 years!!With two or more types of health insurance coverage!!With employer-based and Medicare coverage","Estimate!!Total!!35 to 64 years!!With two or more types of health insurance coverage!!With direct-purchase and Medicare coverage","Margin of Error!!Total!!35 to 64 years!!With two or more types of health insurance coverage!!With direct-purchase and Medicare coverage","Estimate!!Total!!35 to 64 years!!With two or more types of health insurance coverage!!With Medicare and Medicaid/means-tested public coverage","Margin of Error!!Total!!35 to 64 years!!With two or more types of health insurance coverage!!With Medicare and Medicaid/means-tested public coverage","Estimate!!Total!!35 to 64 years!!With two or more types of health insurance coverage!!Other private only combinations","Margin of Error!!Total!!35 to 64 years!!With two or more types of health insurance coverage!!Other private only combinations","Estimate!!Total!!35 to 64 years!!With two or more types of health insurance coverage!!Other public only combinations","Margin of Error!!Total!!35 to 64 years!!With two or more types of health insurance coverage!!Other public only combinations","Estimate!!Total!!35 to 64 years!!With two or more types of health insurance coverage!!Other coverage combinations","Margin of Error!!Total!!35 to 64 years!!With two or more types of health insurance coverage!!Other coverage combinations","Estimate!!Total!!35 to 64 years!!No health insurance coverage","Margin of Error!!Total!!35 to 64 years!!No health insurance coverage","Estimate!!Total!!65 years and over","Margin of Error!!Total!!65 years and over","Estimate!!Total!!65 years and over!!With one type of health insurance coverage","Margin of Error!!Total!!65 years and over!!With one type of health insurance coverage","Estimate!!Total!!65 years and over!!With one type of health insurance coverage!!With employer-based health insurance only","Margin of Error!!Total!!65 years and over!!With one type of health insurance coverage!!With employer-based health insurance only","Estimate!!Total!!65 years and over!!With one type of health insurance coverage!!With direct-purchase health insurance only","Margin of Error!!Total!!65 years and over!!With one type of health insurance coverage!!With direct-purchase health insurance only","Estimate!!Total!!65 years and over!!With one type of health insurance coverage!!With Medicare coverage only","Margin of Error!!Total!!65 years and over!!With one type of health insurance coverage!!With Medicare coverage only","Estimate!!Total!!65 years and over!!With one type of health insurance coverage!!With TRICARE/military health coverage only","Margin of Error!!Total!!65 years and over!!With one type of health insurance coverage!!With TRICARE/military health coverage only","Estimate!!Total!!65 years and over!!With one type of health insurance coverage!!With VA Health Care only","Margin of Error!!Total!!65 years and over!!With one type of health insurance coverage!!With VA Health Care only","Estimate!!Total!!65 years and over!!With two or more types of health insurance coverage","Margin of Error!!Total!!65 years and over!!With two or more types of health insurance coverage","Estimate!!Total!!65 years and over!!With two or more types of health insurance coverage!!With employer-based and direct-purchase coverage","Margin of Error!!Total!!65 years and over!!With two or more types of health insurance coverage!!With employer-based and direct-purchase coverage","Estimate!!Total!!65 years and over!!With two or more types of health insurance coverage!!With employer-based and Medicare coverage","Margin of Error!!Total!!65 years and over!!With two or more types of health insurance coverage!!With employer-based and Medicare coverage","Estimate!!Total!!65 years and over!!With two or more types of health insurance coverage!!With direct-purchase and Medicare coverage","Margin of Error!!Total!!65 years and over!!With two or more types of health insurance coverage!!With direct-purchase and Medicare coverage","Estimate!!Total!!65 years and over!!With two or more types of health insurance coverage!!With Medicare and Medicaid/means-tested public coverage","Margin of Error!!Total!!65 years and over!!With two or more types of health insurance coverage!!With Medicare and Medicaid/means-tested public coverage","Estimate!!Total!!65 years and over!!With two or more types of health insurance coverage!!Other private only combinations","Margin of Error!!Total!!65 years and over!!With two or more types of health insurance coverage!!Other private only combinations","Estimate!!Total!!65 years and over!!With two or more types of health insurance coverage!!Other public only combinations","Margin of Error!!Total!!65 years and over!!With two or more types of health insurance coverage!!Other public only combinations","Estimate!!Total!!65 years and over!!With two or more types of health insurance coverage!!Other coverage combinations","Margin of Error!!Total!!65 years and over!!With two or more types of health insurance coverage!!Other coverage combinations","Estimate!!Total!!65 years and over!!No health insurance coverage","Margin of Error!!Total!!65 years and over!!No health insurance coverage"
"1400000US12001002000","Census Tract 20, Alachua County, Florida","5942","640","1305","253","1054","238","444","195","82","91","10","18","518","227","0","19","0","19","81","129","0","19","0","19","0","19","0","19","0","19","81","129","170","133","1131","322","867","307","388","263","174","162","0","19","264","124","0","19","41","59","94","74","32","52","25","40","20","33","0","19","0","19","17","26","170","104","2226","321","1595","297","1040","273","243","101","53","64","186","94","0","19","73","82","251","107","52","56","3","6","0","19","57","52","3","5","10","14","126","79","380","164","1280","200","286","105","15","19","0","19","263","102","0","19","8","14","994","193","0","19","248","151","194","88","138","106","0","19","67","46","347","119","0","19"
"1400000US12001001203","Census Tract 12.03, Alachua County, Florida","3531","479","640","232","598","231","427","214","21","25","0","13","136","107","14","23","0","13","25","31","0","13","0","13","0","13","0","13","0","13","25","31","17","27","1300","316","1175","328","942","299","186","65","0","13","47","44","0","13","0","13","11","17","11","17","0","13","0","13","0","13","0","13","0","13","114","93","1226","182","998","193","707","172","170","97","24","37","80","65","17","20","0","13","57","36","0","13","4","8","0","13","4","5","0","13","0","13","49","35","171","85","365","116","145","59","8","13","0","13","137","55","0","13","0","13","181","81","0","13","19","21","54","35","45","61","0","13","0","13","63","37","39","46"
"1400000US12001001801","Census Tract 18.01, Alachua County, Florida","7946","666","1666","319","1628","312","1002","287","198","200","0","19","421","268","7","11","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","38","36","1623","390","1082","309","803","270","173","126","0","19","106","91","0","19","0","19","216","189","137","174","0","19","0","19","0","19","0","19","79","72","325","192","3393","365","2835","345","2175","333","352","142","163","144","113","81","32","38","0","19","156","88","28","35","50","62","0","19","28","32","12","18","0","19","38","32","402","165","1264","224","356","147","49","65","0","19","307","130","0","19","0","19","908","200","0","19","384","163","189","104","85","74","0","19","45","48","205","100","0","19"
"1400000US12001001802","Census Tract 18.02, Alachua County, Florida","2399","409","508","217","445","213","198","102","13","20","0","13","234","153","0","13","0","13","44","68","0","13","0","13","0","13","0","13","0","13","44","68","19","28","483","175","336","134","224","125","36","36","0","13","76","77","0","13","0","13","24","39","24","39","0","13","0","13","0","13","0","13","0","13","123","98","1048","176","719","171","421","118","175","94","27","43","91","60","0","13","5","11","88","66","7","12","0","13","0","13","26","42","0","13","0","13","55","54","241","116","360","102","142","85","0","13","22","31","120","77","0","13","0","13","218","72","0","13","18","19","123","66","12","20","0","13","8","14","57","48","0","13"
"1400000US12001001201","Census Tract 12.01, Alachua County, Florida","3421","295","670","128","636","130","433","136","69","63","0","13","118","80","0","13","16","25","27","30","14","23","0","13","0","13","0","13","0","13","13","19","7","17","644","168","479","166","374","151","70","63","0","13","35","38","0","13","0","13","56","46","0","13","0","13","0","13","0","13","15","26","41","40","109","87","1416","196","1260","194","835","161","230","107","77","77","49","78","5","10","64","52","108","64","26","40","0","13","18","27","5","7","0","13","0","13","59","31","48","52","691","108","96","62","7","11","0","13","89","62","0","13","0","13","595","109","0","13","222","93","104","77","53","52","0","13","0","13","216","100","0","13"
"1400000US12001001202","Census Tract 12.02, Alachua County, Florida","7309","630","1173","285","1102","281","714","228","90","84","0","19","286","179","12","44","0","19","46","57","0","19","0","19","0","19","0","19","0","19","46","57","25","39","2400","384","1869","359","1318","347","482","231","0","19","69","75","0","19","0","19","163","118","40","68","0","19","0","19","0","19","0","19","123","93","368","205","2636","368","2090","282","1813","301","191","112","25","44","61","67","0","19","0","19","243","146","33","38","44","68","0","19","55","62","0","19","0","19","111","106","303","228","1100","187","445","169","49","71","0","19","379","179","17","29","0","19","655","172","0","19","156","92","141","101","31","48","0","19","0","19","327","147","0","19"
"1400000US12001000200","Census Tract 2, Alachua County, Florida","6662","910","576","159","539","158","300","102","164","100","0","19","60","57","15","23","0","19","6","10","6","10","0","19","0","19","0","19","0","19","0","19","31","47","5073","933","4365","874","2799","585","1424","482","3","6","39","64","100","80","0","19","384","199","325","188","0","19","0","19","45","59","0","19","14","22","324","296","836","299","552","262","391","251","33","54","52","76","76","63","0","19","0","19","131","105","94","92","0","19","3","6","34","37","0","19","0","19","0","19","153","87","177","71","50","53","0","19","0","19","50","53","0","19","0","19","127","73","0","19","0","19","15","24","16","25","0","19","0","19","96","70","0","19"
"1400000US12001001805","Census Tract 18.05, Alachua County, Florida","1612","196","407","107","348","101","163","64","25","25","0","13","160","76","0","13","0","13","20","22","8","12","0","13","0","13","0","13","0","13","12","18","39","43","294","94","235","81","142","83","55","46","20","26","18","20","0","13","0","13","20","18","8","13","0","13","6","8","0","13","0","13","6","11","39","42","634","104","568","100","412","86","98","38","7","8","26","21","0","13","25","24","24","18","7","10","0","13","0","13","3","5","0","13","0","13","14","15","42","34","277","62","57","43","0","13","6","8","51","43","0","13","0","13","220","59","0","13","80","31","76","47","12","14","0","13","5","7","47","24","0","13"
"1400000US12001002207","Census Tract 22.07, Alachua County, Florida","3635","358","832","163","788","164","545","155","128","78","0","13","115","81","0","13","0","13","44","48","0","13","0","13","0","13","0","13","0","13","44","48","0","13","429","144","348","114","240","103","99","58","0","13","9","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","81","66","1686","179","1501","176","1165","174","261","112","0","13","75","52","0","13","0","13","99","48","28","30","21","23","0","13","1","5","11","13","0","13","38","33","86","46","688","111","223","73","0","13","0","13","211","68","0","13","12","19","403","94","0","13","116","46","151","81","22","20","0","13","9","14","105","46","62","87"
