Medicare Advantage Monthly Capitation Rates for 2021 for All Plans except PACE Plans,,,,,,
"Note: 
1. ESRD rates are for dialysis only and are shown after the deduction of the user fee of $5.25.
2. All rates include MIPPA IME deduction.",,,,,,
Code,State,County Name,Parts A&B 5% Bonus 2021 Rate,Parts A&B 3.5% Bonus 2021 Rate,Parts A&B 0% Bonus 2021 Rate,Parts A&B ESRD 2021 Rate
01000,ALABAMA,AUTAUGA,"1,073.16","1,045.76",981.83,"7,074.02"
01010,ALABAMA,BALDWIN,"1,084.27","1,064.54","1,003.46","7,074.02"
01020,ALABAMA,BARBOUR,996.28,996.28,996.28,"7,074.02"
01030,ALABAMA,BIBB,"1,072.79","1,045.40",981.49,"7,074.02"
01040,ALABAMA,BLOUNT,"1,043.13","1,016.50",954.35,"7,074.02"
01050,ALABAMA,BULLOCK,965.12,953.06,924.91,"7,074.02"
01060,ALABAMA,BUTLER,"1,028.23","1,014.96",984.01,"7,074.02"
01070,ALABAMA,CALHOUN,977.93,977.93,977.93,"7,074.02"
01080,ALABAMA,CHAMBERS,913.97,902.54,875.89,"7,074.02"
01090,ALABAMA,CHEROKEE,"1,004.19","1,004.19",973.84,"7,074.02"
01100,ALABAMA,CHILTON,"1,059.66","1,032.61",969.48,"7,074.02"
01110,ALABAMA,CHOCTAW,"1,041.28","1,025.66",989.22,"7,074.02"
01120,ALABAMA,CLARKE,970.41,970.41,970.41,"7,074.02"
01130,ALABAMA,CLAY,964.66,952.60,924.46,"7,074.02"
01140,ALABAMA,CLEBURNE,978.63,978.63,978.63,"7,074.02"
01150,ALABAMA,COFFEE,981.38,981.38,980.29,"7,074.02"
01160,ALABAMA,COLBERT,"1,029.04","1,015.32",983.30,"7,074.02"
01170,ALABAMA,CONECUH,"1,038.33","1,024.49",992.18,"7,074.02"
01180,ALABAMA,COOSA,974.51,974.51,974.51,"7,074.02"
01190,ALABAMA,COVINGTON,981.90,981.90,981.90,"7,074.02"
01200,ALABAMA,CRENSHAW,953.00,953.00,952.97,"7,074.02"
01210,ALABAMA,CULLMAN,"1,016.07","1,002.52",970.91,"7,074.02"
01220,ALABAMA,DALE,982.07,982.07,982.07,"7,074.02"
01230,ALABAMA,DALLAS,973.40,967.77,939.18,"7,074.02"
01240,ALABAMA,DEKALB,977.55,977.55,977.55,"7,074.02"
01250,ALABAMA,ELMORE,"1,080.61","1,080.61","1,018.91","7,074.02"
01260,ALABAMA,ESCAMBIA,979.09,979.09,959.85,"7,074.02"
01270,ALABAMA,ETOWAH,"1,048.18","1,036.85","1,004.16","7,074.02"
01280,ALABAMA,FAYETTE,973.37,973.37,973.37,"7,074.02"
01290,ALABAMA,FRANKLIN,"1,062.91","1,048.74","1,015.67","7,074.02"
01300,ALABAMA,GENEVA,982.87,982.87,982.87,"7,074.02"
01310,ALABAMA,GREENE,973.10,973.10,973.10,"7,074.02"
01320,ALABAMA,HALE,"1,000.10",986.77,955.65,"7,074.02"
01330,ALABAMA,HENRY,982.98,982.98,982.98,"7,074.02"
