Medicare Advantage Monthly Capitation Rates for 2021 for All PACE Plans,,,,
"Note: 
1. ESRD rates are for dialysis only and are shown after the deduction of the user fee of $5.25.",,,,
Code,State,County Name,Parts A&B 2021 Rate,Parts A&B ESRD 2021 Rate
01000,ALABAMA,AUTAUGA,"1,089.65","7,153.90"
01010,ALABAMA,BALDWIN,"1,089.65","7,153.90"
01020,ALABAMA,BARBOUR,"1,011.97","7,153.90"
01030,ALABAMA,BIBB,"1,126.68","7,153.90"
01040,ALABAMA,BLOUNT,"1,104.59","7,153.90"
01050,ALABAMA,BULLOCK,985.93,"7,153.90"
01060,ALABAMA,BUTLER,"1,093.96","7,153.90"
01070,ALABAMA,CALHOUN,985.93,"7,153.90"
01080,ALABAMA,CHAMBERS,985.93,"7,153.90"
01090,ALABAMA,CHEROKEE,"1,000.62","7,153.90"
01100,ALABAMA,CHILTON,"1,130.31","7,153.90"
01110,ALABAMA,CHOCTAW,"1,093.07","7,153.90"
01120,ALABAMA,CLARKE,985.93,"7,153.90"
01130,ALABAMA,CLAY,985.93,"7,153.90"
01140,ALABAMA,CLEBURNE,985.93,"7,153.90"
01150,ALABAMA,COFFEE,985.93,"7,153.90"
01160,ALABAMA,COLBERT,"1,060.30","7,153.90"
01170,ALABAMA,CONECUH,"1,216.08","7,153.90"
01180,ALABAMA,COOSA,985.93,"7,153.90"
01190,ALABAMA,COVINGTON,985.93,"7,153.90"
01200,ALABAMA,CRENSHAW,985.93,"7,153.90"
01210,ALABAMA,CULLMAN,"1,060.15","7,153.90"
01220,ALABAMA,DALE,985.93,"7,153.90"
01230,ALABAMA,DALLAS,985.93,"7,153.90"
01240,ALABAMA,DEKALB,985.93,"7,153.90"
01250,ALABAMA,ELMORE,"1,089.65","7,153.90"
01260,ALABAMA,ESCAMBIA,994.28,"7,153.90"
01270,ALABAMA,ETOWAH,"1,074.83","7,153.90"
01280,ALABAMA,FAYETTE,985.93,"7,153.90"
01290,ALABAMA,FRANKLIN,"1,187.88","7,153.90"
01300,ALABAMA,GENEVA,985.93,"7,153.90"
01310,ALABAMA,GREENE,985.93,"7,153.90"
01320,ALABAMA,HALE,"1,113.23","7,153.90"
01330,ALABAMA,HENRY,985.93,"7,153.90"
01340,ALABAMA,HOUSTON,985.93,"7,153.90"
01350,ALABAMA,JACKSON,959.49,"7,153.90"
01360,ALABAMA,JEFFERSON,"1,089.65","7,153.90"
01370,ALABAMA,LAMAR,977.19,"7,153.90"
01380,ALABAMA,LAUDERDALE,985.93,"7,153.90"
01390,ALABAMA,LAWRENCE,985.93,"7,153.90"
01400,ALABAMA,LEE,985.93,"7,153.90"
01410,ALABAMA,LIMESTONE,"1,089.65","7,153.90"
01420,ALABAMA,LOWNDES,"1,089.65","7,153.90"
01430,ALABAMA,MACON,985.93,"7,153.90"
01440,ALABAMA,MADISON,"1,089.65","7,153.90"
01450,ALABAMA,MARENGO,985.42,"7,153.90"
01460,ALABAMA,MARION,"1,087.42","7,153.90"
